물품식별번호,중분류그룹번호,영문물품설명,영문카테고리명,카테고리명,대분류그룹번호,영문제작홈페이지주소,입력일자,영문업체설명
- Material or specification of solar modulus: 100W, HR-SP100B / Quantity: 2

- Material or specification of lithium ion: 12V, ULB104Ah / Quantity: 1 ea

- Material or specification of controller: 12V, 10A / Quantity: 1

- Country of origin of the above parts/materials: Korea

- We are supplied by Seongdong Tech Co., Ltd. for the registration and controller.



1) Pole

-Pole and support: Pole is made of steel and SUS pipe, and structural support is steel and SUS, according to the load strength of each structure

-The solar panel support is made at an angle that can increase the efficiency of sunlight and consists of a rotating structure that can adjust the direction

-Built to allow for built-in storage batteries and systems



2) Solar module

-Type of solar cell: 3W single crystal (or polycrystalline) silicon solar cell

-Solar cell module: Modularize solar cells and configure them for each capacity specification (100W or more)

-The frame of the solar panel is made of AL-extruded material and the cover is made of tempered glass

-The terminal box consists of a waterproof terminal box

-Energy conversion efficiency: Polycrystals over 15% and single crystals over 16%

-The solar cell module efficiency (Meff) shall comply with the [Minimum Green Standard for Public Procurement] announced by the Public Procurement Service.



3) LED light fixture

-LED Capacity: 30W-100W

-Drive circuit: DC12V/24V, constant voltage, constant current drive circuit configuration, lamp: STS god, PC glove, etc

-Efficiency: 80lm/w or more, Colorfulness: 75Ra or more

-The LED security lamp shall conform to the [Minimum Green Standard for Public Procurement] according to the Public Procurement Season Notice 1).



4) Controller

-Structure of the controller: The controller shall be made of a waterproof structure when exposed to the outside of the lamp column, and the heat dissipation structure shall be applied regardless of the location of the part

-Configuration of control system: Control of charging power of solar cells, control of charging, discharging voltage and balance of batteries, and control of lighting equipment operation

-Protection system: Integrated control of battery overcharge prevention, overdischarge prevention, reverse current prevention, lighting and turn-off time control

-Built-in Battery Protection Circuit (PCM) that maintains balance by controlling charging and discharging voltage and current of battery cells



5) Storage battery

-Type of storage battery: Lead-acid storage battery, nickel cadmium storage battery, nickel ion storage battery

-Capacity of storage battery: Configure capacity so that it can be lit for more than 3 days

-Battery life: The number of times of charge/discharge shall be 500 Cycle (3 years) or more","Lighting, LED, Special lightings","LED, 조명 기기",201508000000,http://www.sungdongtech.com,2024-09-25,"we’re sungdong Tech co.,Ltd.
We have the know-how and passion to manufacture anything that can be made of metal, and our main products are industrial cases, traffic monitoring camera POLE, solar streetlights, LED streetlights, steel structures, various mechanical parts and covers.By building outstanding technology know-how and securing industry-leading processing professinals and we will continue to develop it in a more creative manner to satisfy our customers."

23628479,202506000000,"Solar Streetlamp SD-FPBS-05



> Dimensions 40W, 5m.

> Parts/materials of street lamps: LED lamp, lamp pole, solar module, lithium ion, controller, etc



> Material or specifications of parts/materials

- Material or specification of LED lamp: LED, 40W, security light, TCN-550-A-1 / Quantity: 1

- Material or specification of kerosene: STS304_165.2_2t / Quantity: 1 ea

- Material or specification of solar modulus: 100W, HR-SP100B / Quantity: 2

- Material or specification of lithium ion: 12V, ULB104Ah / Quantity: 1 ea

- Material or specification of controller: 12V, 10A / Quantity: 1

- Country of origin of the above parts/materials: Korea

- We are supplied by Seongdong Tech Co., Ltd. for the registration and controller.



1) Pole

-Pole and support: Pole is made of steel and SUS pipe, and structural support is steel and SUS, according to the load strength of each structure

-The solar panel support is made at an angle that can increase the efficiency of sunlight and consists of a rotating structure that can adjust the direction

-Built to allow for built-in storage batteries and systems



2) Solar module

-Type of solar cell: 3W single crystal (or polycrystalline) silicon solar cell

-Solar cell module: Modularize solar cells and configure them for each capacity specification (100W or more)

-The frame of the solar panel is made of AL-extruded material and the cover is made of tempered glass

-The terminal box consists of a waterproof terminal box

-Energy conversion efficiency: Polycrystals over 15% and single crystals over 16%

-The solar cell module efficiency (Meff) shall comply with the [Minimum Green Standard for Public Procurement] announced by the Public Procurement Service.



3) LED light fixture

-LED Capacity: 30W-100W

-Drive circuit: DC12V/24V, constant voltage, constant current drive circuit configuration, lamp: STS god, PC glove, etc

-Efficiency: 80lm/w or more, Colorfulness: 75Ra or more

-The LED security lamp shall conform to the [Minimum Green Standard for Public Procurement] according to the Public Procurement Season Notice 1).



4) Controller

-Structure of the controller: The controller shall be made of a waterproof structure when exposed to the outside of the lamp column, and the heat dissipation structure shall be applied regardless of the location of the part

-Configuration of control system: Control of charging power of solar cells, control of charging, discharging voltage and balance of batteries, and control of lighting equipment operation

-Protection system: Integrated control of battery overcharge prevention, overdischarge prevention, reverse current prevention, lighting and turn-off time control

-Built-in Battery Protection Circuit (PCM) that maintains balance by controlling charging and discharging voltage and current of battery cells



5) Storage battery

-Type of storage battery: Lead-acid storage battery, nickel cadmium storage battery, nickel ion storage battery

-Capacity of storage battery: Configure capacity so that it can be lit for more than 3 days

-Battery life: The number of times of charge/discharge shall be 500 Cycle (3 years) or more","Lighting, LED, Special lightings","LED, 조명 기기",201508000000,http://www.sungdongtech.com,2024-09-25,"we’re sungdong Tech co.,Ltd.
We have the know-how and passion to manufacture anything that can be made of metal, and our main products are industrial cases, traffic monitoring camera POLE, solar streetlights, LED streetlights, steel structures, various mechanical parts and covers.By building outstanding technology know-how and securing industry-leading processing professinals and we will continue to develop it in a more creative manner to satisfy our customers."

24564947,202506000000,"Removing a clip from a stripper clip and collecting each round with bare hands can be a laborious job. Although stripper clip guides are often used, its labor-reducing effect is not helpful enough. With Knuckle Loader T, you can remove clips and loose rounds much easily without pain, quickly with 5 seconds and professionally.",Personal Items,생활 용품,201508000000,https://www.aug3rd.co.kr/en/,2020-10-19,"AUG3RD is when the Mercury probe, Messenger departed, we want to created a better world with Mercury, which means a ""Better World"".
Mercury probe, Messenger and Mercury mean ""A Better World"".
AUG3RD is the date when the Mercury probe, Messenger departed. The Mercury probe Messenger in AUG3RD represents the society we are a part of. AUG3RD will take users on board in that society called, Messenger and will guide users to Mercury, A Better World that will be created in the future."

24564946,202506000000,"Unload bullets without hurting hands or damaging bullets or magazines with K-Loader. Compared to unloading with bare hands, you can save up to 80% of the unloading time. K-Loader is useful when it comes to unloading large amount of bullets and counting bullets at a time. It can be used widely as in practical shooting, in training facility and also for military use.",Personal Items,생활 용품,201508000000,https://www.aug3rd.co.kr/en/,2020-10-19,"AUG3RD is when the Mercury probe, Messenger departed, we want to created a better world with Mercury, which means a ""Better World"".
Mercury probe, Messenger and Mercury mean ""A Better World"".
AUG3RD is the date when the Mercury probe, Messenger departed. The Mercury probe Messenger in AUG3RD represents the society we are a part of. AUG3RD will take users on board in that society called, Messenger and will guide users to Mercury, A Better World that will be created in the future."

22089737,202506000000,"Apulsetechnology is a professional company with full experience in the RFID field, designing, developing, and manufacturing RFID reader products. We make the most efficient RFID handheld reader providing customers with high-end technology for the IoT world. Apulsetech RFID readers provide Overwhelming RFID performance, unique and sophisticated designs.


You don't have to spend a lot of time and workforce on property investigation and inventory. Solve it with Apulsetech RFID IoT solution.
450K products inventories can be checked in just 5-6 hours. Upgrade to RFID technology.
RFID readers, which are essential for the Internet of Things (IoT), Apulsetech develops global products differentiated from existing RFID products.","Measurement, Control & Analysis Instruments","측정, 조절 및 분석 기기",201508000000,www.apulsetech.com,2019-06-24,"Apulsetechnology is an RFID company manufacturing RFID handheld readers. With over 20 years of  RFID business experience in the field, we make the most efficient RFID handheld reader providing customers with high-end technology for the IoT world.  We design and manufacture a top product suitable for various industries, such as Healthcare, Pharmaceutical, Retail, transportation, and many others."

23624204,202506000000,"Metal 3D printers for customized production of metal materials for various uses are equipment that melts various metals into precious metals (rings, brooches, various decorations, etc.), medical (teeth prostheses, artificial joints, jaw joints, facial cheekbones, etc.), industrial (space Airlines, automobiles, molds, etc.)

All metal three-dimensional molded products have been used as main processes by creating a shape frame and pouring and casting molten metal according to the frame and cutting processing of metal materials by milling using a 3D CAD. 

MERAIN Co., Ltd. The processing method of a three-dimensional molded product by a metal 3D printer DAVID1.0 completes the three-dimensional molded product by thinly laying 14㎛~40㎛ of metal powder, such as flour, at 30㎛ on a vertically operated base, melting the metal powder with a laser, and stacking a further layer according to input 3D modeling. In this way, it is possible to manufacture high-temperature bearings that cannot be assembled, and precise spaces or installations inside can also be implemented.

This metal 3D printer consists of laser devices of different capacities depending on the size of the molded article, scanners that help operate, computers and monitors that connect command systems, dust collectors that cleanly regenerate fume generated inside the printer chamber, and various electrical safety devices.","Computers, Printers, Scanners",컴퓨터 및 주변기기,201508000000,www.merain.kr,2020-10-19,"MERAIN Co., Ltd. is a company specializing in developing and manufacturing metal 3D printers of the PBF (Power Bed Fusion) type. DAVID1.0, which can output metal 3D products with high functionality and low price with a 300W output laser and a 120Diameter x 100mm height through the Additive Manufacturing (AM) process, will present convenience to customers."

24231918,201612000000,"The “vehicle movement type LED tower lighting vehicle system product” produced by Astronic LS Co., Ltd. is a specially manufactured vehicle with a hydraulic rotary plate, hydraulic lift, power generation system, high-power LED lighting system, LED display system, image control system, and camera shooting. The system was equipped with a wireless WiBro network system.

The specifications of the product are specially designed for 2.5-ton, 3.5-ton, and 5-ton vehicles and to be used in urban areas and natural ecological areas.
In particular, this product is used in various eco-friendly disaster safety fields and national defense fields that directly produce and use electricity with a power generation system mounted inside a vehicle without external electricity supply.

The scope of application of this product has recently been extended to disaster and safety accident sites (earthquake, fire, collapse site, explosion site, automobile accident site, airport emergency) caused by global warming and climate change, military base dispatch site, broadcasting site, and construction site. Innovative products used.

ASTRONIX LS Company developed it for the first time in the world and possesses the original technology. It has been designated as a disaster safety product by the Korean government procurement agency and a global procurement product by the Ministry of National Defense, and is exclusively procured and supplied to overseas public institutions.","Automobiles, Special Vehicles","자동차, 특장차 및 부품",201508000000,www.astronixls.com,2020-10-19,"Our ASTRONIX LS company produces innovative LED lighting products in the field of disaster safety supplies and new and renewable energy.
The “vehicle movement type LED tower lighting vehicle system product” designated as a disaster safety product by the Korean government this year is an innovative IT convergence technology.
In particular, the vehicle moving type LED tower lighting vehicle system product is an innovative product that can be of great interest to the global government."

24364533,201612000000,"The “vehicle movement type LED tower lighting vehicle system product” produced by Astronic LS Co., Ltd. is a specially manufactured vehicle with a hydraulic rotary plate, hydraulic lift, power generation system, high-power LED lighting system, LED display system, image control system, and camera shooting. The system was equipped with a wireless WiBro network system.

As for the specifications of the product, 8-ton and 15-ton vehicles are specially designed and manufactured to be used in urban areas and natural ecological areas.
In particular, this product is used in various eco-friendly disaster safety fields and national defense fields that directly produce and use electricity with a power generation system mounted inside a vehicle without external electricity supply.

The scope of application of this product has recently been extended to disaster and safety accident sites (earthquake, fire, collapse site, explosion site, automobile accident site, airport emergency) caused by global warming and climate change, military base dispatch site, broadcasting site, and construction site. Innovative products used.

ASTRONIX LS Company developed it for the first time in the world and possesses the original technology. It has been designated as a disaster safety product by the Korean government procurement agency and a global procurement product by the Ministry of National Defense, and is exclusively procured and supplied to overseas public institutions.","Automobiles, Special Vehicles","자동차, 특장차 및 부품",201508000000,www.astronixls.com,2020-08-10,"Our ASTRONIX LS company produces innovative LED lighting products in the field of disaster safety supplies and new and renewable energy.
The “vehicle movement type LED tower lighting vehicle system product” designated as a disaster safety product by the Korean government this year is an innovative IT convergence technology.
In particular, the vehicle moving type LED tower lighting vehicle system product is an innovative product that can be of great interest to the global government."

23599724,202506000000,"1) Company introduction :
SDC Constlook Co., Ltd. is a facility maintenance company that directly produces road safety facilities and expansion joint products installed in bridges and building structures. We are currently selling products to the Korean national procurement market and certifying the excellence of our products with a number of patents and certifications.
In addition, with differentiated technology and research and development, we continue to develop and develop continuously to meet the needs of our customers.


2) Product descriptions :

*Bridge expansion joints:
This product is installed at a location where the upper part of the road and the bridge is separated from each other to accommodate structural changes, concrete creep and drying shrinkage, and displacement of the bridge caused by vehicle load, minimizing the impact of the passing vehicle and allowing the vehicle to drive the bridge smoothly.

*Specification :
Steel finger joint type
SDC-SFJ200 (992×480×45mm)
Unit: m
Maximum allowable expansion: 200 mm

Features: It is suitable when the expansion amount of the structure is more than 160m/m, and noise and durability are excellent. It is unnecessary to protect and clean the waterproof sheet and has good driving properties by minimizing vertical steps.


*Portfolio:
-(Busan Facilities Corporation)
Repair of Namhang Bridge Facilities in 2022
-(Uijeongbu City)
Repair and reinforcement work at five Heungseon suburbs
-(Gyeonggi-do Construction Headquarters)
Repair work at five places, including Nogok Road Bridge, in 2021
-(Incheon Airport)
Incheon Airport Railway expansion Joint Construction
-(Korea Railroad Facilities Corporation)
Anchuncheongyo Bridge in Guil Station on Gyeongin Line


3) Quote inquiry method :
We are selling products of guaranteed quality at a good price.
If you contact the contact information below, we will help you with the consultation easily and quickly. You are also welcome to visit our factory at any time :)

*Address:
Head Office: 110, Achasan-ro 78, Gwangjin-gu, Seoul, Korea
Factory: 31-34, Biryong-ro 379-gil, Hwado-eup, Namyangju, Gyeonggi-do, Korea

*Contact: +82 2 444 4945
*Site: http://sjidtax.cafe24.com
*Email: sjind2009@gmail.com
*Kakao Talk ID: SDC",Civil Engineering Materials,토목 시설물,201508000000,http://sjidtax.cafe24.com,2016-11-01,"SDC Constlook Co., Ltd. is a facility maintenance company that directly produces road safety facilities and expansion joint products installed in bridges and building structures. We are currently selling products to the Korean national procurement market and certifying the excellence of our products with a number of patents and certifications. we continue to develop and develop continuously to meet the needs of our customers."

23588592,202506000000,"1) Company introduction :
SDC Constlook Co., Ltd. is a facility maintenance company that directly produces road safety facilities and expansion joint products installed in bridges and building structures. We are currently selling products to the Korean national procurement market and certifying the excellence of our products with a number of patents and certifications.
In addition, with differentiated technology and research and development, we continue to develop and develop continuously to meet the needs of our customers.


2) Product descriptions :

*Bridge expansion joints:
This product is installed at a location where the upper part of the road and the bridge is separated from each other to accommodate structural changes, concrete creep and drying shrinkage, and displacement of the bridge caused by vehicle load, minimizing the impact of the passing vehicle and allowing the vehicle to drive the bridge smoothly.

*Specification name:
New Finger Joint (S-type),
SDC-NFJ50s (1800×155×139mm)
Unit: m
Maximum allowable expansion: 50 mm
Type: steel rail type

Features: The upper protective steel plate and the side plate are welded and integrated to prevent separation of the upper plate, and the rubber is fixed to the inside of the upper plate and the side plate to increase durability and can be used for a long time.
In addition, it has a double rubber structure, so it has excellent noise, waterproofing, and durability.


*Portfolio:
-(Busan Facilities Corporation) 
Repair of Namhang Bridge Facilities in 2022
-(Uijeongbu City) 
Repair and reinforcement work at five Heungseon suburbs
-(Gyeonggi-do Construction Headquarters) 
Repair work at five places, including Nogok Road Bridge, in 2021
-(Incheon Airport) 
Incheon Airport Railway expansion Joint Construction
-(Korea Railroad Facilities Corporation) 
Anchuncheongyo Bridge in Guil Station on Gyeongin Line


3) Quote inquiry method :
We are selling products of guaranteed quality at a good price.
If you contact the contact information below, we will help you with the consultation easily and quickly. You are also welcome to visit our factory at any time :)

*Address:
Head Office: 110, Achasan-ro 78, Gwangjin-gu, Seoul, Korea
Factory: 31-34, Biryong-ro 379-gil, Hwado-eup, Namyangju, Gyeonggi-do, Korea

*Contact: +82 2 444 4945
*Site: http://sjidtax.cafe24.com
*Email: sjind2009@gmail.com
*Kakao Talk ID: SDC",Civil Engineering Materials,토목 시설물,201508000000,http://sjidtax.cafe24.com,2025-03-27,"SDC Constlook Co., Ltd. is a facility maintenance company that directly produces road safety facilities and expansion joint products installed in bridges and building structures. We are currently selling products to the Korean national procurement market and certifying the excellence of our products with a number of patents and certifications. we continue to develop and develop continuously to meet the needs of our customers."

22825524,202506000000,"1) Company introduction :
SDC Constlook Co., Ltd. is a facility maintenance company that directly produces road safety facilities and expansion joint products installed in bridges and building structures. We are currently selling products to the Korean national procurement market and certifying the excellence of our products with a number of patents and certifications.
In addition, with differentiated technology and research and development, we continue to develop and develop continuously to meet the needs of our customers.


2) Product descriptions :

* Road Guard Rail :
The vehicle barrier shall have the function of preventing the vehicle from falling or invading outside the bridge or on the sidewalk, and preventing direct or indirect secondary accidents caused by vehicle collisions.

*Specification :
Driveway railings,
SDC-B301 (W2000xH400mm)
Installation section : pedestrian protection area/city area
Unit: m

*Portfolio:
-(Gyeonggi-do Construction Headquarters)
Replacement of five protective fences, including the Noche Bridge
-(Gyeonggi-do Construction Headquarters)
Repair work at four places, including Yeolmi Bridge, in 2020
-(Korea Land and Housing Corporation Gyeonggi Regional Headquarters)
Road expansion work around Hwaseong Bibong District
-(Seoul Metropolitan Government Urban Infrastructure Headquarters)
Construction of Jinjon Line Vehicle Base 2
-(Urban Management Office in Namyangju, Gyeonggi-do)
Improvement of Dangerous Road in Hopyeong-dong


3) Quote inquiry method :
We are selling products of guaranteed quality at a good price.
If you contact the contact information below, we will help you with the consultation easily and quickly. You are also welcome to visit our factory at any time  :)

*Address:
Head Office: 110, Achasan-ro 78, Gwangjin-gu, Seoul, Korea
Factory: 31-34, Biryong-ro 379-gil, Hwado-eup, Namyangju, Gyeonggi-do, Korea

*Contact: +82 2 444 4945
*Site: http://sjidtax.cafe24.com
*Email: sjind2009@gmail.com
*Kakao Talk ID: SDC",Civil Engineering Materials,토목 시설물,201508000000,http://sjidtax.cafe24.com,2020-08-10,"SDC Constlook Co., Ltd. is a facility maintenance company that directly produces road safety facilities and expansion joint products installed in bridges and building structures. We are currently selling products to the Korean national procurement market and certifying the excellence of our products with a number of patents and certifications. we continue to develop and develop continuously to meet the needs of our customers."

23626440,202506000000,"1) Company introduction : 
SDC Constlook Co., Ltd. is a facility maintenance company that directly produces road safety facilities and expansion joint products installed in bridges and building structures. We are currently selling products to the Korean national procurement market and certifying the excellence of our products with a number of patents and certifications.
In addition, with differentiated technology and research and development, we continue to develop and develop continuously to meet the needs of our customers.



2) Product descriptions :
 
* Road Guard Rail :
The vehicle barrier shall have the function of preventing the vehicle from falling or invading outside the bridge or on the sidewalk, and preventing direct or indirect secondary accidents caused by vehicle collisions.

*Specification :
Safety barrier
SDC-ADAM485 (W2000×H850mm, SB4 rating)
Installation section : expressway / pedestrian protection area
Unit: m

*Portfolio:
-(Gyeonggi-do Construction Headquarters) 
Replacement of five protective fences, including the Noche Bridge
-(Gyeonggi-do Construction Headquarters) 
